Ticker,Name,Country,Sector,Industry,Asset Class,Theme,Currency
^GSPC,S&P 500,United States,Multi-Sector,Broad Market,Index,Broad Market,USD
^RSP,Invesco S&P 500 Equal Weight ETF,United States,Multi-Sector,Broad Market,ETF,Equal Weight Equity,USD
^NDX,Nasdaq 100,United States,Technology,Large-Cap Growth,Index,Technology,USD
^SOX,Philadelphia Semiconductor Index,United States,Technology,Semiconductors,Index,Semiconductors,USD
^N225,Nikkei 225,Japan,Multi-Sector,Broad Market,Index,Japan Equities,JPY
^KS11,KOSPI,South Korea,Multi-Sector,Broad Market,Index,Korea Equities,KRW
^TWII,Taiwan Weighted Index,Taiwan,Multi-Sector,Broad Market,Index,Taiwan Equities,TWD
^HSI,Hang Seng Index,Hong Kong,Multi-Sector,Broad Market,Index,Hong Kong Equities,HKD
AAPL,Apple,United States,Technology,Consumer Electronics,Equity,Mega-Cap Technology,USD
MSFT,Microsoft,United States,Technology,Software and Cloud,Equity,Cloud and AI,USD
NVDA,NVIDIA,United States,Technology,Semiconductors,Equity,AI Accelerators,USD
AMZN,Amazon,United States,Consumer Discretionary,E-commerce and Cloud,Equity,Cloud and E-commerce,USD
GOOGL,Alphabet,United States,Communication Services,Internet Platforms,Equity,Digital Advertising and AI,USD
META,Meta Platforms,United States,Communication Services,Internet Platforms,Equity,Digital Advertising and AI,USD
TSLA,Tesla,United States,Consumer Discretionary,Automobiles,Equity,Electric Vehicles and Autonomy,USD
AVGO,Broadcom,United States,Technology,Semiconductors,Equity,AI Networking and Custom Silicon,USD
AMD,Advanced Micro Devices,United States,Technology,Semiconductors,Equity,CPUs and AI Accelerators,USD
MU,Micron Technology,United States,Technology,Memory Semiconductors,Equity,Memory and HBM,USD
QCOM,Qualcomm,United States,Technology,Semiconductors,Equity,Mobile and Edge AI,USD
MRVL,Marvell Technology,United States,Technology,Semiconductors,Equity,Data Centre Connectivity,USD
ARM,Arm Holdings,United Kingdom,Technology,Semiconductor IP,Equity,Chip Architecture,USD
INTC,Intel,United States,Technology,Semiconductors,Equity,Processors and Foundry,USD
TSM,TSMC ADR,Taiwan,Technology,Semiconductor Foundry,Equity,Leading-Edge Foundry,USD
ASML.AS,ASML,Netherlands,Technology,Semiconductor Equipment,Equity,Lithography,EUR
